period,동화약품
2017-10-18,23.1681
2017-10-19,20.68965
2017-10-20,17.73976
2017-10-21,6.57327
2017-10-22,5.46875
2017-10-23,25.52532
2017-10-24,22.11745
2017-10-25,20.21821
2017-10-26,19.31573
2017-10-27,19.140620000000002
2017-10-28,6.27693
2017-10-29,5.67079
2017-10-30,20.44719
2017-10-31,19.719820000000002
2017-11-01,23.3028
2017-11-02,20.756999999999998
2017-11-03,22.49461
2017-11-04,7.01778
2017-11-05,7.09859
2017-11-06,29.97036
2017-11-07,27.9903
2017-11-08,36.36853
2017-11-09,41.83728
2017-11-10,44.71982
2017-11-11,10.73545
2017-11-12,10.70851
2017-11-13,47.68318
2017-11-14,66.62176
2017-11-15,55.185880000000004
2017-11-16,46.7403
2017-11-17,43.386309999999995
2017-11-18,11.54364
2017-11-19,11.54364
2017-11-20,47.8987
2017-11-21,44.34267
2017-11-22,39.601290000000006
2017-11-23,36.28771
2017-11-24,31.26346
2017-11-25,8.17618
2017-11-26,7.6643300000000005
2017-11-27,31.35775
2017-11-28,30.239759999999997
2017-11-29,30.33405
2017-11-30,29.57974
2017-12-01,26.23922
2017-12-02,7.3949300000000004
2017-12-03,8.01454
2017-12-04,27.46497
2017-12-05,26.84536
2017-12-06,26.06411
2017-12-07,25.40409
2017-12-08,22.10398
2017-12-09,5.29364
2017-12-10,4.79525
2017-12-11,22.844820000000002
2017-12-12,19.73329
2017-12-13,20.8917
2017-12-14,19.42349
2017-12-15,23.08728
2017-12-16,4.91648
2017-12-17,4.90301
2017-12-18,22.15786
2017-12-19,19.84105
2017-12-20,23.248920000000002
2017-12-21,21.390079999999998
2017-12-22,20.78394
2017-12-23,5.7112
2017-12-24,4.66056
2017-12-25,4.79525
2017-12-26,21.84806
2017-12-27,22.65625
2017-12-28,23.450960000000002
2017-12-29,10.16971
2017-12-30,5.10506
2017-12-31,3.7446099999999998
2018-01-01,5.42834
2018-01-02,24.33997
2018-01-03,28.515620000000002
2018-01-04,23.626070000000002
2018-01-05,23.828120000000002
2018-01-06,5.630380000000001
2018-01-07,5.347519999999999
2018-01-08,25.83512
2018-01-09,24.16487
2018-01-10,24.64978
2018-01-11,32.38146
2018-01-12,35.23706
2018-01-13,7.448810000000001
2018-01-14,6.33081
2018-01-15,31.14224
2018-01-16,29.512390000000003
2018-01-17,26.400859999999998
2018-01-18,28.89278
2018-01-19,37.89062
2018-01-20,7.960660000000001
2018-01-21,7.34105
2018-01-22,31.586740000000002
2018-01-23,30.58997
2018-01-24,29.014
2018-01-25,28.60991
2018-01-26,31.25
2018-01-27,8.41864
2018-01-28,7.09859
2018-01-29,31.35775
2018-01-30,35.81627
2018-01-31,40.261309999999995
2018-02-01,33.5264
2018-02-02,29.36422
2018-02-03,11.17995
2018-02-04,8.21659
2018-02-05,35.78933
2018-02-06,32.34105
2018-02-07,39.857209999999995
2018-02-08,35.06196
2018-02-09,28.60991
2018-02-10,6.6136800000000004
2018-02-11,5.94019
2018-02-12,44.59859
2018-02-13,37.01508
2018-02-14,27.82866
2018-02-15,6.14224
2018-02-16,5.078119999999999
2018-02-17,4.6875
2018-02-18,5.44181
2018-02-19,29.94342
2018-02-20,100.0
2018-02-21,66.28501999999999
2018-02-22,68.84428
2018-02-23,54.04094
2018-02-24,13.68534
2018-02-25,10.641160000000001
2018-02-26,42.29525
2018-02-27,39.9515
2018-02-28,35.73545
2018-03-01,13.739220000000001
2018-03-02,36.36853
2018-03-03,9.32112
2018-03-04,8.56681
2018-03-05,33.49946
2018-03-06,33.68803
2018-03-07,40.57112
2018-03-08,34.590509999999995
2018-03-09,37.28448
2018-03-10,7.947189999999999
2018-03-11,7.73168
2018-03-12,45.1778
2018-03-13,37.31142
2018-03-14,36.00484
2018-03-15,50.619609999999994
2018-03-16,40.90786
2018-03-17,7.82596
2018-03-18,7.20635
2018-03-19,33.10883
2018-03-20,33.74191
2018-03-21,34.02478
2018-03-22,39.1029
2018-03-23,34.132540000000006
2018-03-24,7.2198199999999995
2018-03-25,6.681030000000001
2018-03-26,33.1223
2018-03-27,32.2737
2018-03-28,29.512390000000003
2018-03-29,34.06519
2018-03-30,34.96767
2018-03-31,7.6778
2018-04-01,6.681030000000001
2018-04-02,31.209590000000002
2018-04-03,32.52963
2018-04-04,35.81627
2018-04-05,31.92349
2018-04-06,27.07435
2018-04-07,6.721439999999999
2018-04-08,5.96713
2018-04-09,34.80603
2018-04-10,41.28502
2018-04-11,44.638999999999996
2018-04-12,39.18372
2018-04-13,40.81357
2018-04-14,9.80603
2018-04-15,8.24353
2018-04-16,34.14601
2018-04-17,29.404629999999997
2018-04-18,29.404629999999997
2018-04-19,29.18911
2018-04-20,28.89278
2018-04-21,6.78879
2018-04-22,6.856139999999999
2018-04-23,26.5625
2018-04-24,26.387390000000003
2018-04-25,23.57219
2018-04-26,25.0
2018-04-27,23.19504
2018-04-28,5.7112
2018-04-29,5.99407
2018-04-30,23.7473
2018-05-01,10.35829
2018-05-02,25.498379999999997
2018-05-03,22.750529999999998
2018-05-04,21.107210000000002
2018-05-05,5.50915
2018-05-06,6.07489
2018-05-07,6.6945
2018-05-08,22.30603
2018-05-09,23.316270000000003
2018-05-10,21.61907
2018-05-11,21.161089999999998
2018-05-12,5.41487
2018-05-13,5.56303
2018-05-14,23.37015
2018-05-15,24.77101
2018-05-16,24.407320000000002
2018-05-17,24.17834
2018-05-18,22.80441
2018-05-19,5.56303
2018-05-20,5.68426
2018-05-21,19.1945
2018-05-22,6.62715
2018-05-23,19.248379999999997
2018-05-24,18.95204
2018-05-25,19.50431
2018-05-26,5.30711
2018-05-27,4.70096
2018-05-28,21.484370000000002
2018-05-29,20.94558
2018-05-30,18.669179999999997
2018-05-31,21.107210000000002
2018-06-01,19.66594
2018-06-02,5.80549
2018-06-03,5.28017
2018-06-04,20.16433
2018-06-05,20.24515
2018-06-06,6.80226
2018-06-07,18.87122
2018-06-08,15.746220000000001
2018-06-09,4.80872
2018-06-10,5.2262900000000005
2018-06-11,18.31896
2018-06-12,19.66594
2018-06-13,7.09859
2018-06-14,21.26885
2018-06-15,19.42349
2018-06-16,5.76508
2018-06-17,5.2262900000000005
2018-06-18,18.669179999999997
