period,price,volume
2018-03-14,3215,91812
2018-03-15,3240,103611
2018-03-16,3320,284680
2018-03-19,3285,125509
2018-03-20,3265,67482
2018-03-21,3205,96765
2018-03-22,3155,91252
2018-03-23,3125,89958
2018-03-26,3180,68487
2018-03-27,3240,66995
2018-03-28,3200,79337
2018-03-29,3310,113625
2018-03-30,3335,133182
2018-04-02,3295,57372
2018-04-03,3295,34889
2018-04-04,3255,55459
2018-04-05,3250,86860
2018-04-06,3185,49524
2018-04-09,3200,72869
2018-04-10,3225,49597
2018-04-11,3245,35275
2018-04-12,3235,35178
2018-04-13,3290,86419
2018-04-16,3290,58404
2018-04-17,3340,193737
2018-04-18,3360,120333
2018-04-19,3450,517462
2018-04-20,3440,429088
2018-04-23,3375,223493
2018-04-24,3545,598853
2018-04-25,3405,465635
2018-04-26,3380,190030
2018-04-27,3390,145942
2018-04-30,3450,761175
2018-05-02,3530,426282
2018-05-03,3495,190276
2018-05-04,3720,1208035
2018-05-08,3600,408100
2018-05-09,3515,315761
2018-05-10,3585,183708
2018-05-11,3550,301817
2018-05-14,3545,161246
2018-05-15,3520,226939
2018-05-16,3390,313493
2018-05-17,3430,111146
2018-05-18,3485,90145
2018-05-21,3490,107037
2018-05-23,3490,85709
2018-05-24,3395,131975
2018-05-25,3380,111142
2018-05-28,3440,132372
2018-05-29,3440,91419
2018-05-30,3370,123140
2018-05-31,3350,63308
2018-06-01,3380,57533
2018-06-04,3395,41679
2018-06-05,3410,46404
2018-06-07,3440,61077
2018-06-08,3415,64831
2018-06-11,3400,64991
2018-06-12,3340,92567
2018-06-14,3325,82340
2018-06-15,3275,68969
2018-06-18,3215,146832
2018-06-19,3135,65508
2018-06-20,3120,145531
2018-06-21,3100,37666
2018-06-22,3045,96184
2018-06-25,3110,31558
2018-06-26,3070,35266
2018-06-27,3020,36663
2018-06-28,3015,27586
2018-06-29,2990,44015
2018-07-02,2930,54075
2018-07-03,2980,80149
2018-07-04,2985,17436
2018-07-05,2960,44176
2018-07-06,2995,17491
2018-07-09,2975,51808
2018-07-10,2995,32235
2018-07-11,3020,34383
2018-07-12,3045,23701
2018-07-13,3065,43988
2018-07-16,3070,18263
2018-07-17,3105,68085
2018-07-18,3075,36285
2018-07-19,3030,31442
2018-07-20,3025,15994
2018-07-23,2980,33446
2018-07-24,2990,11203
2018-07-25,2995,58063
2018-07-26,3005,20560
2018-07-27,3005,17958
2018-07-30,3010,12432
2018-07-31,2965,18242
2018-08-01,3005,19403
2018-08-02,3000,19374
2018-08-03,3035,57754
2018-08-06,3000,39206
2018-08-07,2990,20580
2018-08-08,2980,20882
2018-08-09,2975,21028
2018-08-10,2950,67635
2018-08-13,2880,91283
2018-08-14,2900,34576
2018-08-16,2880,21547
2018-08-17,2930,22056
2018-08-20,3020,108084
2018-08-21,3045,51035
2018-08-22,3020,14321
2018-08-23,3020,42371
2018-08-24,3015,23473
2018-08-27,3005,33294
2018-08-28,3010,46075
2018-08-29,3000,18164
2018-08-30,3005,10607
2018-08-31,2980,27039
2018-09-03,2995,19645
2018-09-04,2980,27418
2018-09-05,2970,20191
2018-09-06,2985,15347
2018-09-07,2980,22162
2018-09-10,2980,22071
2018-09-11,3055,212007
2018-09-12,3020,31030
2018-09-13,3040,32054
2018-09-14,3080,75569
2018-09-17,3065,56129
2018-09-18,3050,14862
2018-09-19,3005,44257
2018-09-20,2990,50716
2018-09-21,3040,19985
2018-09-27,3000,56942
2018-09-28,2995,39072
2018-10-01,2985,100706
2018-10-02,2960,37447
2018-10-04,2910,100461
2018-10-05,2825,227021
2018-10-08,2755,160337
2018-10-10,2670,111038
2018-10-11,2525,114342
2018-10-12,2565,59126
2018-10-15,2555,33484
2018-10-16,2630,37928
2018-10-17,2665,32776
2018-10-18,2660,18012
2018-10-19,2640,13246
2018-10-22,2620,17983
2018-10-23,2570,30243
2018-10-24,2515,81370
2018-10-25,2400,95246
2018-10-26,2455,82672
2018-10-29,2295,122666
2018-10-30,2350,154317
2018-10-31,2455,75926
2018-11-01,2500,73516
2018-11-02,2680,115269
2018-11-05,2650,79340
2018-11-06,2630,33114
2018-11-07,2650,2769058
2018-11-08,2685,300622
2018-11-09,2700,209157
2018-11-12,2625,125811
2018-11-13,2575,102439
2018-11-14,2615,66166
2018-11-15,2630,27122
2018-11-16,2635,47186
2018-11-19,2640,27917
2018-11-20,2605,21522
2018-11-21,2605,19510
2018-11-22,2595,12553
2018-11-23,2585,16270
2018-11-26,2600,10282
2018-11-27,2605,28913
2018-11-28,2595,12121
2018-11-29,2585,18286
2018-11-30,2600,41368
2018-12-03,2615,47568
2018-12-04,2640,25142
2018-12-05,2665,64622
2018-12-06,2640,42499
2018-12-07,2640,28057
2018-12-10,2600,14508
2018-12-11,2580,24029
2018-12-12,2585,14656
2018-12-13,2670,38528
2018-12-14,2680,36331
2018-12-17,2700,39676
2018-12-18,2735,37672
2018-12-19,2710,29313
2018-12-20,2675,27144
2018-12-21,2650,12496
2018-12-24,2645,36606
2018-12-26,2645,34917
2018-12-27,2630,8078
2018-12-28,2620,10901
2019-01-02,2640,17093
2019-01-03,2655,37346
2019-01-04,2640,16090
2019-01-07,2745,65635
2019-01-08,2745,62569
2019-01-09,2760,21008
2019-01-10,2760,15220
2019-01-11,2820,39483
2019-01-14,2800,31878
2019-01-15,2795,19305
2019-01-16,2845,49015
2019-01-17,2800,37456
2019-01-18,2800,46031
2019-01-21,2815,31289
2019-01-22,2795,81565
2019-01-23,2830,102355
2019-01-24,2835,27717
2019-01-25,2840,26302
2019-01-28,2845,27654
2019-01-29,2840,52734
2019-01-30,2890,129954
2019-01-31,2865,65068
2019-02-01,2865,36249
2019-02-07,2895,44775
2019-02-08,2860,22231
2019-02-11,2860,13947
2019-02-12,2860,19350
2019-02-13,2820,40432
2019-02-14,2815,42422
2019-02-15,2840,38877
2019-02-18,2845,75077
2019-02-19,2895,707749
2019-02-20,2910,149873
2019-02-21,2875,98989
2019-02-22,2950,79993
2019-02-25,2940,74918
2019-02-26,2900,40349
2019-02-27,2970,49468
2019-02-28,2865,46408
2019-03-04,2890,68877
2019-03-05,2905,31181
2019-03-06,2915,27396
2019-03-07,2880,52307
2019-03-08,2840,33221
2019-03-11,2770,52853
2019-03-12,2830,37948
2019-03-13,2825,23512
2019-03-14,2830,14341
2019-03-15,2730,375019
2019-03-18,2745,35418
2019-03-19,2725,18402
2019-03-20,2715,28355
2019-03-21,2655,40080
2019-03-22,2630,38583
2019-03-25,2670,23950
2019-03-26,2715,1320623
2019-03-27,2715,96694
2019-03-28,2670,46603
2019-03-29,2665,46258
2019-04-01,2740,64264
2019-04-02,2830,144630
2019-04-03,2795,31825
2019-04-04,2795,36210
2019-04-05,2800,37606
2019-04-08,2790,25268
2019-04-09,2880,1597946
2019-04-10,2840,228995
2019-04-11,2860,99626
2019-04-12,2870,93687
2019-04-15,2890,205805
2019-04-16,2875,57801
2019-04-17,2840,71490
2019-04-18,2845,69190
2019-04-19,2855,37168
2019-04-22,2850,34859
2019-04-23,2860,33613
2019-04-24,2860,32817
2019-04-25,2850,35610
2019-04-26,2795,45653
2019-04-29,2800,13179
2019-04-30,2795,19283
2019-05-02,2830,48186
2019-05-03,2820,33865
2019-05-07,2745,98101
2019-05-08,2750,23099
2019-05-09,2695,64306
2019-05-10,2715,34551
2019-05-13,2645,54064
2019-05-14,2670,17961
2019-05-15,2725,36252
2019-05-16,2670,18975
2019-05-17,2695,9357
2019-05-20,2590,100752
2019-05-21,2600,14481
2019-05-22,2610,33832
2019-05-23,2575,20677
2019-05-24,2490,129455
2019-05-27,2530,52812
2019-05-28,2580,34718
2019-05-29,2545,20416
