period,ratio
2017-03-10,3.5536
2017-03-11,1.01315
2017-03-12,0.96779
2017-03-13,4.09798
2017-03-14,3.36458
2017-03-15,2.9941
2017-03-16,3.07727
2017-03-17,2.94117
2017-03-18,1.08876
2017-03-19,1.02827
2017-03-20,3.53092
2017-03-21,3.39482
2017-03-22,3.42507
2017-03-23,3.17556
2017-03-24,2.92605
2017-03-25,0.70316
2017-03-26,0.61999
2017-03-27,3.01678
2017-03-28,3.34946
2017-03-29,2.92605
2017-03-30,2.73703
2017-03-31,3.61409
2017-04-01,0.89974
2017-04-02,0.72584
2017-04-03,2.87312
2017-04-04,4.46847
2017-04-05,3.84848
2017-04-06,3.29653
2017-04-07,3.22848
2017-04-08,1.02827
2017-04-09,0.65779
2017-04-10,3.68214
2017-04-11,3.168
2017-04-12,3.68214
2017-04-13,3.46287
2017-04-14,2.70678
2017-04-15,0.98291
2017-04-16,0.49145
2017-04-17,3.68214
2017-04-18,3.64433
2017-04-19,3.33434
2017-04-20,2.79752
2017-04-21,2.55557
2017-04-22,0.7712
2017-04-23,0.62755
2017-04-24,2.87312
2017-04-25,2.6841
2017-04-26,3.5536
2017-04-27,3.0319
2017-04-28,2.63874
2017-04-29,0.74096
2017-04-30,0.45365
2017-05-01,0.70316
2017-05-02,2.20021
2017-05-03,0.70316
2017-05-04,2.23801
2017-05-05,0.5973
2017-05-06,0.77876
2017-05-07,1.95826
2017-05-08,7.45501
2017-05-09,1.74655
2017-05-10,3.29653
2017-05-11,3.19824
2017-05-12,2.75215
2017-05-13,0.71072
2017-05-14,0.54438
2017-05-15,2.84288
2017-05-16,2.858
2017-05-17,2.87312
2017-05-18,2.36655
2017-05-19,2.48752
2017-05-20,0.53682
2017-05-21,0.53682
2017-05-22,3.12263
2017-05-23,3.02434
2017-05-24,3.13019
2017-05-25,2.95629
2017-05-26,2.89581
2017-05-27,0.77876
2017-05-28,0.67291
2017-05-29,3.00922
2017-05-30,5.83698
2017-05-31,3.59141
2017-06-01,3.75018
2017-06-02,3.74262
2017-06-03,0.86193
2017-06-04,0.77876
2017-06-05,3.13019
2017-06-06,0.99803
2017-06-07,3.29653
2017-06-08,3.06215
2017-06-09,2.92605
2017-06-10,0.83925
2017-06-11,0.75608
2017-06-12,2.89581
2017-06-13,3.22848
2017-06-14,4.31725
2017-06-15,5.19431
2017-06-16,3.6897
2017-06-17,1.08876
2017-06-18,0.72584
2017-06-19,3.56116
2017-06-20,3.57628
2017-06-21,3.07727
2017-06-22,3.38726
2017-06-23,2.71435
2017-06-24,0.76364
2017-06-25,0.57462
2017-06-26,2.95629
2017-06-27,2.77483
2017-06-28,2.81264
2017-06-29,2.59337
2017-06-30,2.27582
2017-07-01,0.72584
2017-07-02,0.44609
2017-07-03,3.21336
2017-07-04,5.14894
2017-07-05,4.36261
2017-07-06,3.25873
2017-07-07,3.24361
2017-07-08,0.72584
2017-07-09,0.50657
2017-07-10,2.69922
2017-07-11,2.858
2017-07-12,2.47996
2017-07-13,2.79752
2017-07-14,2.39679
2017-07-15,0.68047
2017-07-16,0.50657
2017-07-17,2.82776
2017-07-18,2.858
2017-07-19,2.53288
2017-07-20,2.67654
2017-07-21,2.57069
2017-07-22,0.7712
2017-07-23,0.56706
2017-07-24,2.8202
2017-07-25,2.67654
2017-07-26,2.25313
2017-07-27,2.70678
2017-07-28,2.67654
2017-07-29,0.57462
2017-07-30,0.45365
2017-07-31,2.41191
2017-08-01,2.15484
2017-08-02,2.11704
2017-08-03,2.23045
2017-08-04,2.32874
2017-08-05,0.65779
2017-08-06,0.48389
2017-08-07,2.66898
2017-08-08,2.72947
2017-08-09,2.67654
2017-08-10,2.72947
2017-08-11,2.14728
2017-08-12,0.58218
2017-08-13,0.53682
2017-08-14,2.40435
2017-08-15,0.9073
2017-08-16,2.91093
2017-08-17,3.13019
2017-08-18,2.73703
2017-08-19,0.69559
2017-08-20,0.52169
2017-08-21,5.06577
2017-08-22,25.23816
2017-08-23,11.69665
2017-08-24,8.18841
2017-08-25,6.87282
2017-08-26,1.38363
2017-08-27,1.07364
2017-08-28,6.59307
2017-08-29,5.7765
2017-08-30,7.23574
2017-08-31,7.91622
2017-09-01,12.6342
2017-09-02,3.3419
2017-09-03,3.81067
2017-09-04,16.93633
2017-09-05,18.28217
2017-09-06,12.91395
2017-09-07,9.35278
2017-09-08,8.19597
2017-09-09,1.75412
2017-09-10,1.70875
2017-09-11,7.01648
2017-09-12,6.76697
2017-09-13,6.83502
2017-09-14,6.60063
2017-09-15,6.30576
2017-09-16,1.429
2017-09-17,1.26266
2017-09-18,6.28307
2017-09-19,5.62528
2017-09-20,5.67064
2017-09-21,5.42114
2017-09-22,4.71797
2017-09-23,1.23242
2017-09-24,0.89974
2017-09-25,5.24724
2017-09-26,5.51943
2017-09-27,6.24527
2017-09-28,6.78209
2017-09-29,4.82383
2017-09-30,1.02827
2017-10-01,0.84681
2017-10-02,0.98291
2017-10-03,0.62755
2017-10-04,0.61999
2017-10-05,0.54438
2017-10-06,0.63511
2017-10-07,0.66535
2017-10-08,0.65779
2017-10-09,1.09632
2017-10-10,4.907
2017-10-11,5.05821
2017-10-12,4.33237
2017-10-13,4.17359
2017-10-14,0.88462
2017-10-15,0.75608
2017-10-16,4.70285
2017-10-17,4.41554
2017-10-18,4.36261
2017-10-19,4.19628
2017-10-20,4.45334
2017-10-21,0.89218
2017-10-22,0.51413
2017-10-23,4.20384
2017-10-24,3.88628
2017-10-25,3.40995
2017-10-26,3.43263
2017-10-27,3.57628
2017-10-28,0.92242
2017-10-29,0.62755
2017-10-30,3.79555
2017-10-31,3.61409
2017-11-01,3.75018
2017-11-02,4.80114
2017-11-03,3.50824
2017-11-04,0.87706
2017-11-05,0.63511
2017-11-06,3.9014
2017-11-07,4.0753
2017-11-08,4.05262
2017-11-09,4.61968
2017-11-10,4.40042
2017-11-11,0.99803
2017-11-12,0.9451
2017-11-13,4.71797
