sector,code,company
소재,005820,원림
소재,115570,스타플렉스
소재,010640,진양폴리
소재,009190,대양금속
소재,023790,동일철강
산업재,028260,삼성물산
산업재,034730,SK
산업재,003550,LG
산업재,009540,한국조선해양
산업재,000720,현대건설
산업재,010140,삼성중공업
산업재,267250,현대중공업지주
산업재,028300,에이치엘비
산업재,086280,현대글로비스
산업재,000210,대림산업
산업재,006360,GS건설
산업재,012750,에스원
산업재,047810,한국항공우주
산업재,017800,현대엘리베이
산업재,028050,삼성엔지니어링
산업재,003490,대한항공
산업재,002380,KCC
산업재,001040,CJ
산업재,000120,CJ대한통운
산업재,241560,두산밥캣
산업재,064350,현대로템
산업재,010620,현대미포조선
산업재,294870,HDC현대산업개발
산업재,011200,현대상선
산업재,012450,한화에어로스페이스
산업재,180640,한진칼
산업재,042660,대우조선해양
산업재,028670,팬오션
산업재,047040,대우건설
산업재,042670,두산인프라코어
산업재,006260,LS
산업재,047050,포스코인터내셔널
산업재,001740,SK네트웍스
산업재,010120,LS산전
산업재,009240,한샘
산업재,003410,쌍용양회
산업재,056190,에스에프에이
산업재,012630,HDC
산업재,034020,두산중공업
산업재,267270,현대건설기계
산업재,020560,아시아나항공
산업재,000150,두산
산업재,001120,LG상사
산업재,009410,태영건설
산업재,010780,아이에스동서
산업재,079550,LIG넥스원
산업재,108670,LG하우시스
산업재,267260,현대일렉트릭
산업재,002320,한진
산업재,023410,유진기업
산업재,089590,제주항공
산업재,011760,현대상사
산업재,010170,대한광통신
산업재,005880,대한해운
산업재,300720,한일시멘트
산업재,001520,동양
산업재,079430,현대리바트
산업재,002150,도화엔지니어링
산업재,272450,진에어
산업재,095190,이엠코리아
산업재,004980,성신양회
산업재,017960,한국카본
산업재,002990,금호산업
산업재,019210,와이지-원
산업재,006730,서부T&D
산업재,298040,효성중공업
산업재,183190,아세아시멘트
산업재,112610,씨에스윈드
산업재,007460,에이프로젠 KIC
산업재,011370,서한
산업재,060150,인선이엔티
산업재,014620,성광벤드
산업재,122900,아이마켓코리아
산업재,038500,삼표시멘트
산업재,074610,나노메딕스
산업재,067390,아스트
산업재,007110,일신석재
산업재,090360,로보스타
산업재,023160,태광
산업재,013120,동원개발
산업재,029960,코엔텍
산업재,035890,서희건설
산업재,013030,하이록코리아
산업재,024810,이화전기
산업재,068400,AJ렌터카
산업재,007820,에스엠코어
산업재,003580,넥스트사이언스
산업재,008350,남선알미늄
산업재,045100,한양이엔지
산업재,004360,세방
산업재,006390,한일현대시멘트
산업재,004960,한신공영
산업재,033500,동성화인텍
산업재,001440,대한전선
산업재,298690,에어부산
산업재,016880,웅진
산업재,013580,계룡건설
산업재,002780,진흥기업
산업재,014200,광림
산업재,126870,뉴로스
산업재,016250,이테크건설
산업재,018000,유니슨
산업재,085310,엔케이
산업재,006910,보성파워텍
산업재,028100,동아지질
산업재,046120,오르비텍
산업재,064510,에코마이스터
산업재,091810,티웨이항공
산업재,003300,한일홀딩스
산업재,001250,GS글로벌
산업재,036190,금화피에스시
산업재,007210,벽산
산업재,002900,동양물산
산업재,033100,제룡전기
산업재,210540,디와이파워
산업재,016800,퍼시스
산업재,126880,제이엔케이히터
산업재,109610,에스와이
산업재,002460,화성산업
산업재,044490,태웅
산업재,143240,사람인에이치알
산업재,036890,진성티이씨
산업재,000390,삼화페인트
산업재,001470,삼부토건
산업재,009070,KCTC
산업재,054180,중앙오션
산업재,014790,한라
산업재,017040,광명전기
산업재,000700,유수홀딩스
산업재,005870,휴니드
산업재,025750,한솔홈데코
산업재,060310,3S
산업재,001840,이화공영
산업재,082740,HSD엔진
산업재,011390,부산산업
산업재,010960,삼호개발
산업재,000490,대동공업
산업재,000860,강남제비스코
산업재,013570,디와이
산업재,020710,시공테크
산업재,100130,동국S&C
산업재,044450,KSS해운
산업재,053690,한미글로벌
산업재,004380,삼익THK
산업재,006340,대원전선
산업재,010820,퍼스텍
산업재,058730,다스코
산업재,026150,특수건설
산업재,090710,휴림로봇
산업재,090350,노루페인트
산업재,097230,한진중공업
산업재,004870,티웨이홀딩스
산업재,089140,넥스턴
산업재,099320,쎄트렉아이
산업재,017510,세명전기
산업재,008250,이건산업
산업재,043910,자연과환경
산업재,037370,EG
산업재,015860,일진홀딩스
산업재,018310,삼목에스폼
산업재,058850,KTcs
산업재,039570,HDC아이콘트롤스
산업재,036560,영풍정밀
산업재,083660,CSA 코스믹
산업재,214430,아이쓰리시스템
산업재,039610,화성밸브
산업재,100090,삼강엠앤티
산업재,060560,홈센타홀딩스
산업재,195990,에이비프로바이오
산업재,036000,예림당
